"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Fernando Tatis Jr.","SDP","130","546","42","99","97","25","11.4%","28.0%",".328",".324",".282",".364",".611",".403",".407","157","9.3","48.8","5.5","7.3","19709"
"Juan Soto","WSN","151","654","29","111","95","9","22.2%","14.2%",".221",".332",".313",".465",".534",".420",".429","163","-3.3","49.2","-1.1","7.0","20123"
"Trea Turner","- - -","148","646","28","107","77","32","6.3%","17.0%",".208",".362",".328",".375",".536",".386",".364","142","5.0","39.6","6.5","6.8","16252"
"Bryce Harper","PHI","141","599","35","101","84","13","16.7%","22.4%",".305",".359",".309",".429",".615",".431",".430","170","-2.5","50.9","-5.5","6.6","11579"
"Jose Ramirez","CLE","152","636","36","111","103","27","11.3%","13.7%",".272",".256",".266",".355",".538",".372",".376","138","6.3","35.6","7.3","6.5","13510"
"Vladimir Guerrero Jr.","TOR","161","698","48","123","111","4","12.3%","15.8%",".290",".313",".311",".401",".601",".419",".417","166","-2.1","54.1","-15.2","6.3","19611"
"Brandon Crawford","SFG","138","549","24","79","90","11","10.2%","19.1%",".224",".334",".298",".373",".522",".377",".356","138","0.4","27.0","17.1","6.3","5343"
"Marcus Semien","TOR","162","724","45","115","102","15","9.1%","20.2%",".273",".276",".265",".334",".538",".368",".336","131","4.0","31.5","6.1","6.2","12533"
"Carlos Correa","HOU","148","640","26","104","92","0","11.7%","18.1%",".205",".308",".279",".366",".485",".364",".373","133","-0.6","25.0","14.9","6.2","14162"
"Bryan Reynolds","PIT","159","646","24","93","90","5","11.6%","18.4%",".220",".345",".302",".390",".522",".385",".386","141","3.0","36.8","2.2","6.1","19326"
"Cedric Mullins II","BAL","159","675","30","91","59","30","8.7%","18.5%",".228",".322",".291",".360",".518",".372",".344","136","4.8","34.2","2.5","6.0","17929"
"Nicky Lopez","KCR","151","565","2","78","43","22","8.7%","13.1%",".078",".347",".300",".365",".378",".329",".283","105","8.2","11.9","28.0","5.9","19339"
"Tyler O'Neill","STL","138","537","34","89","80","15","7.1%","31.3%",".274",".366",".286",".352",".560",".384",".392","144","4.7","34.9","3.2","5.6","15711"
"Aaron Judge","NYY","148","633","39","89","98","6","11.8%","25.0%",".256",".332",".287",".373",".544",".387",".418","149","-0.1","37.7","-4.5","5.5","15640"
"Starling Marte","- - -","120","526","12","89","55","47","8.2%","18.8%",".148",".372",".310",".383",".458",".364",".347","134","12.3","34.6","2.1","5.5","9241"
"Jose Altuve","HOU","146","678","31","117","83","5","9.7%","13.4%",".211",".280",".278",".350",".489",".357",".332","128","2.5","25.8","4.1","5.3","5417"
"Bo Bichette","TOR","159","690","29","121","102","25","5.8%","19.9%",".186",".339",".298",".343",".484",".354",".355","122","6.9","25.2","2.4","5.1","19612"
"Matt Olson","OAK","156","673","39","101","111","4","13.1%","16.8%",".269",".269",".271",".371",".540",".379",".378","147","0.0","39.0","-11.4","5.1","14344"
